order_date,sales,prediction
2015-03-18,2926.0855,10168.185740615027
2015-03-19,14279.795499999998,10699.281392185949
2015-03-20,3062.1705,10244.358753720066
2015-03-21,5477.329000000001,9737.150076225727
2015-03-22,1346.78,9901.700586717336
2015-03-23,30755.598,9553.39592632445
2015-03-24,14862.52,11475.542063594423
2015-03-25,710.86,10669.769580158723
2015-03-26,1764.3194999999998,10103.987327298926
2015-03-27,11085.93,9585.688514927904
2015-03-28,39303.319,10136.068788229391
2015-03-29,5770.088,10606.847706339871
2015-03-30,24833.2365,9378.796268809181
2015-03-31,4212.67,10649.622266959956
2015-04-01,2965.25,8982.53499026299
2015-04-02,565.01,9501.509580933978
2015-04-03,17945.55,9034.382306271591
2015-04-04,1754.66,10709.863735791028
2015-04-05,1328.01,9387.670225105303
2015-04-06,23599.25,11493.355908060505
2015-04-07,5990.041,11340.054144980306
2015-04-08,7377.96,9578.913126063191
2015-04-09,10333.7085,9573.083539585901
2015-04-10,4733.875,10506.886841912632
2015-04-11,15488.1495,11496.530147907797
2015-04-12,14128.17,10054.824049918008
2015-04-13,30965.2425,11358.869057667085
2015-04-14,13196.8535,10600.087009600547
2015-04-15,7711.647500000001,9492.737534341997
2015-04-16,585.14,9140.643684438503
2015-04-17,8473.137999999999,9692.277365783491
2015-04-18,13820.5,9471.442424551373
2015-04-20,1141.9,9743.442223195292
2015-04-21,8285.045,10885.77181433636
2015-04-22,7843.403999999999,10259.95672392032
2015-04-23,14663.6795,10257.10585265053
2015-04-24,7197.190500000001,10479.893624965871
2015-04-25,5197.558,9871.064046388212
2015-04-26,5679.8485,10521.667817830072
2015-04-27,11315.5775,10296.073560745946
2015-04-28,10660.67,11497.168604776529
2015-04-29,12265.7615,10465.102045410089
2015-04-30,2812.18,10360.7195928353
2015-05-01,9992.48,9574.426763471034
2015-05-02,6628.6155,10279.338436969105
2015-05-03,6189.9675,10366.13238004809
2015-05-04,31219.538,9819.684070689473
2015-05-05,20709.13,11198.473324831415
2015-05-06,33442.7155,10483.035001902404
2015-05-07,5717.241999999999,10933.85968830647
2015-05-08,6700.696000000001,9178.593864576847
2015-05-09,2613.5115,9092.85202353363
2015-05-10,11152.376,8951.911520198773
2015-05-11,5280.545999999999,10282.551806541047
2015-05-12,13795.154,10094.959703913064
2015-05-13,29653.6435,11080.891808983219
2015-05-14,2309.96,10789.721527494428
2015-05-16,324.61,9775.248052677625
2015-05-17,6733.719,9488.390728712353
2015-05-18,6734.94,9972.416351189284
2015-05-19,5396.700000000001,11214.59531647533
2015-05-20,10311.38,10795.447552438087
2015-05-21,49046.8095,12193.287764978038
2015-05-22,4856.27,11788.183500644776
2015-05-23,6480.790000000001,9365.147382507015
2015-05-24,1137.6,9295.985933515381
2015-05-25,22082.066,9564.74224142197
2015-05-26,27534.0725,10090.55041809984
2015-05-27,7679.04,10591.159402398105
2015-05-28,7662.3845,11395.816192233131
2015-05-29,5538.856,9504.72838395013
2015-05-30,7204.9995,9314.91281983948
2015-05-31,30458.249,9593.148439666184
2015-06-01,11127.05,11002.733861066758
2015-06-02,32117.716,10215.689921465548
2015-06-03,2131.73,11022.895320590596
2015-06-04,709.96,11541.058269290937
2015-06-05,24217.845,9179.384172219927
2015-06-06,669.03,10262.281040993184
2015-06-07,6479.755,9417.245106595181
2015-06-08,11789.602,10755.49362508796
2015-06-09,473.03,11852.588677908934
2015-06-10,1099.97,9948.018091981334
2015-06-11,9415.0045,9957.769577443705
2015-06-12,6681.56,10749.721684064029
2015-06-13,20254.1045,10378.717751065078
2015-06-14,10471.5335,12157.364615230468
2015-06-15,3229.46,10686.266945115538
2015-06-16,5606.089999999999,11252.756340337764
2015-06-17,5530.030000000001,9718.473653964731
