order_date,sales,prediction
2015-06-18,4934.44,9777.568578348055
2015-06-19,16254.8235,10990.203808093036
2015-06-20,14263.4335,10540.54986583405
2015-06-22,1635.51,10603.280230335367
2015-06-23,1117.63,10162.902816470785
2015-06-24,3441.35,9629.545035721634
2015-06-25,4419.3,9821.107251469952
2015-06-26,5886.62,10314.820625701132
2015-06-27,10247.167,10521.645194067092
2015-06-28,30121.4815,11521.512474908119
2015-06-29,31882.7795,11498.092647555944
2015-06-30,372.93,10692.112620324906
2015-07-01,129.16,9285.156998258904
2015-07-02,13108.562,9345.375841833677
2015-07-03,11315.189,9904.16314036619
2015-07-05,387.73,10423.429856560007
2015-07-06,342.97,10414.724577168241
2015-07-07,1607.7425,10287.093972214063
2015-07-08,12127.25,10025.663796309274
2015-07-09,13918.967,10511.41330478651
2015-07-10,6914.93,10761.974141666942
2015-07-11,2122.86,10519.363989231728
2015-07-12,2039.53,10362.236862333833
2015-07-13,30068.8005,11386.852313711894
2015-07-14,6038.49,12518.130929172321
2015-07-15,2014.17,9748.458948980047
2015-07-16,26767.9465,9733.965642221205
2015-07-17,2591.99,11360.40658627253
2015-07-18,1496.69,9908.94489612899
2015-07-19,12619.872,9276.985657163812
2015-07-20,2905.77,10431.513119746456
2015-07-21,29878.8825,9813.839186875624
2015-07-22,1047.85,11321.854178843252
2015-07-23,624.21,10512.088292902246
2015-07-24,67.73,9932.650367043345
2015-07-25,11458.6315,9660.22543487156
2015-07-26,4596.59,10387.93340621911
2015-07-27,9925.25,11395.44851831192
2015-07-28,9529.4205,10981.94059226027
2015-07-29,11170.1415,10348.799547225017
2015-07-30,8483.89,11562.320421117452
2015-07-31,7508.484,9988.085328064375
2015-08-01,28285.596,10139.120667813422
2015-08-02,10407.98,11390.233924038632
2015-08-03,462.1,9965.845030696186
2015-08-04,3238.386,11000.103671027453
2015-08-05,5093.45,9766.816273486027
2015-08-06,347.99,9876.83687165247
2015-08-07,75913.746,9701.978089087857
2015-08-08,27.83,13772.526586016525
2015-08-09,20623.68,9336.7278061397
2015-08-10,19642.7755,10315.268912672216
2015-08-11,11345.88,9990.633344995646
2015-08-12,30275.39,9540.211372094685
2015-08-13,408.05,9874.6785520197
2015-08-14,3911.6,10153.511075638287
2015-08-15,1364.119,10696.934496910948
2015-08-16,2408.2205,10113.832536126616
2015-08-17,7750.01,9936.653483238451
2015-08-18,8539.344,10357.855158010507
2015-08-19,11264.2185,11031.905882050749
2015-08-20,9341.1105,10480.28825606854
2015-08-21,2598.18,14303.721367833568
2015-08-22,3895.1565,9870.116654642208
2015-08-23,3954.5915,11009.879643172815
2015-08-24,671.64,11079.702051496033
2015-08-26,6699.2615000000005,10595.243847859389
2015-08-27,3224.54,12016.108526314634
2015-08-28,17750.571,10329.35802856322
2015-08-29,4071.01,10984.109408192608
2015-08-30,9228.697,10119.947778904492
2015-09-01,5861.082,10470.922835167883
2015-09-02,15435.677,10453.939188368702
2015-09-03,7652.54,10917.46095265404
2015-09-04,4464.280000000001,10534.582788627846
2015-09-05,18108.566,10610.187946099233
2015-09-06,23012.84,10631.641516913318
2015-09-07,3980.67,10795.505054214174
2015-09-08,4153.942,9774.030002070778
2015-09-09,5153.32,9883.223724832686
2015-09-10,19675.9585,10227.461794803201
2015-09-11,5556.97,10543.096948760613
2015-09-12,21615.67,10880.646765607584
2015-09-13,30363.476,11089.521579983657
2015-09-14,4144.197,11238.913949896574
2015-09-15,27089.66,9648.107377065258
2015-09-16,3507.211,11031.833388256957
2015-09-17,13546.87,9747.517675524872
2015-09-18,8612.94,9859.647104275684
2015-09-19,23170.9035,10674.639429514888
2015-09-20,3729.32,11915.277831361604
2015-09-21,6040.91,9645.468942657473
2015-09-22,8219.28,10335.799141224648
2015-09-23,18012.319499999998,10216.492288209034
2015-09-24,18741.0415,11525.3912814422
2015-09-25,1595.66,10603.029972414748
2015-09-27,4133.2,11014.844870727355
2015-09-28,2640.86,11440.588225308633
2015-09-29,4619.972500000001,10044.581494957158
2015-09-30,5432.23,11439.791155868297
2015-10-01,12584.946,10624.08291768304
2015-10-02,30973.34,11649.66352838014
2015-10-03,7915.059999999999,11735.246166464967
2015-10-04,9000.01,11218.677519970865
2015-10-05,13722.807,10138.770145511338
2015-10-06,6207.3715,10380.050940843521
2015-10-07,21463.9275,10082.627339787265
2015-10-08,8711.470000000001,11336.234638278784
2015-10-09,2225.91,11221.680750341386
2015-10-10,6393.772,9852.569187113986
2015-10-11,5320.820000000001,10263.754465469843
2015-10-12,4321.59,10323.053199200667
2015-10-13,3739.16,10337.325873944537
2015-10-14,26644.176,10780.532463595544
2015-10-15,2793.643,11979.84208227662
2015-10-16,24824.53,11594.191449096737
2015-10-17,1757.31,11286.113882459471
2015-10-18,21454.498,10148.407744367127
2015-10-19,12132.9115,11175.917742834472
2015-10-20,4676.4175,10128.572533528504
2015-10-21,1586.62,11102.939799755582
2015-10-22,19339.21,10064.83138651477
2015-10-23,9833.69,10967.167645644235
2015-10-24,637.91,10335.020630659776
2015-10-25,5621.034,10305.1590478018
2015-10-26,4822.345,10559.826764632558
2015-10-27,12974.65,10415.688004779804
2015-10-28,19229.0135,11844.372817529915
2015-10-29,27285.49,11077.791193694655
2015-10-30,20179.08,12300.637303091156
2015-10-31,2874.0200000000004,10286.921926453308
2015-11-01,7981.916999999999,10577.726338095943
2015-11-02,158.7,10308.55615300247
2015-11-03,1093.715,9776.7717554914
2015-11-04,8697.85,10022.098099867462
2015-11-05,1221.59,11752.780480104302
2015-11-06,2253.42,11097.961609716298
2015-11-07,492.87,10521.141190579247
2015-11-08,5932.870000000001,10858.727146101892
2015-11-09,26564.2765,10954.816279077084
2015-11-10,16181.5375,12078.966349243748
2015-11-11,3942.33,11790.309857190563
2015-11-12,103.03,11437.894265752504
2015-11-13,2856.53,10891.671768159129
2015-11-14,7235.83,10064.34933276297
2015-11-15,2914.355,10595.131620770195
2015-11-16,3532.192,10541.717159133406
2015-11-17,2399.03,10744.41026007677
2015-11-18,25908.78,11000.475856307045
2015-11-19,26950.9125,11405.708240240634
2015-11-20,3887.17,11140.227683663623
2015-11-21,11028.452,9899.606458629107
2015-11-22,4732.011,10397.07905045281
2015-11-23,7863.309999999999,11143.510897677897
2015-11-24,6998.98,10654.639906189339
2015-11-25,8776.226,10484.792090858857
2015-11-26,5541.5965,10692.847895592155
2015-11-27,2601.7905,10431.243733131505
2015-11-28,15175.9205,10707.292096457339
2015-11-29,8237.362,10924.668341735618
2015-11-30,34755.55,10618.780592017216
2015-12-01,39180.62,11612.552423503836
2015-12-02,71821.472,12603.341432894367
2015-12-03,4827.352,13281.28353746384
2015-12-04,1263.13,8386.19881341476
2015-12-05,11657.03,8914.273312265243
2015-12-06,1347.67,9020.613159939661
2015-12-07,7117.31,9439.951547512876
2015-12-08,2175.25,10282.258141040922
2015-12-09,44483.818,11569.635976197882
2015-12-10,9768.65,12422.66446836635
2015-12-11,3222.1655,10223.224779907036
2015-12-12,31668.03,10766.71261063388
2015-12-13,1673.428,11332.359702153983
2015-12-14,19.81,11269.78694398326
2015-12-15,16906.120000000003,11394.48606630258
2015-12-16,6883.2365,14856.800759926899
2015-12-17,303.97,10502.443754669268
2015-12-18,10722.31,9948.052047311736
2015-12-19,1935.6345,11663.195267946969
2015-12-20,11224.3,10371.092302964673
2015-12-21,8689.3735,10986.898987885425
2015-12-22,476.31,10876.36619701237
2015-12-23,5102.11,12683.004233285856
2015-12-24,9915.9735,10947.672834945206
2015-12-25,6089.703,10965.421107186554
2015-12-26,351.41,12111.158661540503
2015-12-27,21119.5015,10474.148701705288
2015-12-28,2721.18,11290.592891748469
2015-12-29,18874.42,11079.288341819114
2015-12-30,3168.05,11227.512490723659
